"","index","country","year","gdp","infrate","trade","schooling","invest60","invest70","invest80","industry"
"1",1,"USA",1960,2879,NA,9.69318103790283,43.7999992370605,NA,NA,NA,NA
"2",1,"USA",1961,2929,1.07518196105957,9.44465446472168,NA,NA,NA,NA,NA
"3",1,"USA",1962,3103,1.11607098579407,9.42932415008545,NA,NA,NA,NA,NA
"4",1,"USA",1963,3227,1.21412801742554,9.47070598602295,NA,NA,NA,NA,NA
"5",1,"USA",1964,3420,1.30861496925354,9.72587871551514,NA,NA,NA,NA,NA
"6",1,"USA",1965,3667,1.66846096515656,9.7303466796875,43.7999992370605,NA,NA,NA,NA
"7",1,"USA",1966,3974,2.9909999370575,10.0975923538208,NA,NA,NA,NA,NA
"8",1,"USA",1967,4154,2.7756359577179,10.2081022262573,NA,NA,NA,NA,NA
"9",1,"USA",1968,4494,4.2177209854126,10.593936920166,NA,NA,NA,NA,NA
"10",1,"USA",1969,4805,5.41470098495483,10.6356334686279,NA,NA,NA,NA,NA
"11",1,"USA",1970,4999,5.89529609680176,11.3886413574219,44.4000015258789,NA,NA,NA,NA
"12",1,"USA",1971,5362,4.2559289932251,11.3675756454468,NA,NA,NA,NA,34.5086288452148
"13",1,"USA",1972,5838,3.30561494827271,11.9671583175659,NA,NA,NA,NA,34.4442901611328
"14",1,"USA",1973,6464,6.22006416320801,13.7135648727417,NA,NA,NA,NA,34.3752098083496
"15",1,"USA",1974,6951,11.0352602005005,17.3161354064941,NA,NA,NA,NA,34.036060333252
"16",1,"USA",1975,7519,9.13193035125732,16.3796901702881,42.5999984741211,NA,NA,NA,33.2256698608398
"17",1,"USA",1976,8300,5.73702716827393,16.8736591339111,NA,NA,NA,NA,33.7608489990234
"18",1,"USA",1977,9146,6.48646020889282,17.2205905914307,NA,NA,NA,NA,34.2646408081055
"19",1,"USA",1978,10229,7.64746379852295,17.8061904907227,NA,NA,NA,NA,34.0372314453125
"20",1,"USA",1979,11306,11.2660398483276,19.2805461883545,NA,NA,NA,NA,33.6264801025391
"21",1,"USA",1980,12186,13.5093698501587,21.081579208374,62.9000015258789,0.238839998841286,0.245680004358292,22.3759994506836,33.5143890380859
"22",1,"USA",1981,13533,10.3155298233032,20.3632411956787,NA,NA,NA,NA,34.0882797241211
"23",1,"USA",1982,13940,6.16061592102051,18.4716205596924,NA,NA,NA,NA,32.9096908569336
"24",1,"USA",1983,15008,3.21243500709534,17.6243076324463,NA,NA,NA,NA,31.4972190856934
"25",1,"USA",1984,16549,4.31726884841919,18.5770130157471,NA,NA,NA,NA,31.8727798461914
"26",1,"USA",1985,17600,3.56111598014832,17.6424083709717,57.4000015258789,NA,NA,NA,30.8645191192627
"27",1,"USA",1986,18439,1.85873603820801,17.9541244506836,NA,NA,NA,NA,29.4432601928711
"28",1,"USA",1987,19407,3.74087595939636,19.1161861419678,NA,NA,NA,NA,29.1997299194336
"29",1,"USA",1988,20711,4.00908803939819,20.3308181762695,NA,NA,NA,NA,29.6064891815186
"30",1,"USA",1989,22047,4.82700300216675,20.7302932739258,NA,NA,NA,NA,28.6190395355225
"31",1,"USA",1990,23064,5.39795589447021,21.1879501342773,44.4000015258789,NA,NA,NA,27.85032081604
"32",1,"USA",1991,23507,4.23496389389038,21.2663497924805,NA,NA,NA,NA,26.620059967041
"33",1,"USA",1992,24509,3.0288200378418,21.5422096252441,NA,NA,NA,NA,25.7284297943115
"34",1,"USA",1993,25409,2.95165705680847,21.5576496124268,NA,NA,NA,NA,25.6100101470947
"35",1,"USA",1994,26670,2.60744190216064,22.6182193756104,NA,NA,NA,NA,26.082950592041
"36",1,"USA",1995,27574,2.805419921875,24.2739791870117,44.5999984741211,NA,NA,NA,26.2928504943848
"37",1,"USA",1996,28814,2.93120408058167,24.5824699401855,NA,NA,NA,NA,25.785400390625
"38",1,"USA",1997,30262,2.33769011497498,25.5915393829346,NA,NA,NA,NA,25.3842906951904
"39",1,"USA",1998,31519,1.55227899551392,24.6905689239502,NA,NA,NA,NA,25.0188407897949
"40",1,"USA",1999,33028,2.18802690505981,NA,NA,NA,NA,NA,24.7250499725342
"41",1,"USA",2000,34603,3.37685704231262,NA,39.5999984741211,NA,NA,NA,24.443489074707
"42",1,"USA",2001,35341,2.82617092132568,NA,NA,NA,NA,NA,23.0485801696777
"43",1,"USA",2002,36180,1.58603203296661,NA,NA,NA,NA,NA,NA
"44",1,"USA",2003,37548,2.27009510993958,NA,NA,NA,NA,NA,NA
"45",2,"UK",1960,2158,NA,43.2554702758789,24.5,NA,NA,NA,NA
"46",2,"UK",1961,2216,3.57941794395447,41.5332412719727,NA,NA,NA,NA,NA
"47",2,"UK",1962,2276,4.10367202758789,40.4046325683594,NA,NA,NA,NA,NA
"48",2,"UK",1963,2386,2.07468891143799,40.4065856933594,NA,NA,NA,NA,NA
"49",2,"UK",1964,2534,3.21138191223145,40.5187644958496,NA,NA,NA,NA,NA
"50",2,"UK",1965,2660,4.80504083633423,39.2253379821777,26.5,NA,NA,NA,NA
"51",2,"UK",1966,2794,3.90830492973328,38.9646339416504,NA,NA,NA,NA,NA
"52",2,"UK",1967,2923,2.42314600944519,39.3131866455078,NA,NA,NA,NA,NA
"53",2,"UK",1968,3173,4.73163795471191,43.6651306152344,NA,NA,NA,NA,NA
"54",2,"UK",1969,3391,5.46190214157104,44.0389823913574,NA,NA,NA,NA,NA
"55",2,"UK",1970,3615,6.36189317703247,45.2477378845215,28.8999996185303,NA,NA,NA,NA
"56",2,"UK",1971,3854,9.40787506103516,44.9333992004395,NA,NA,NA,NA,43.0785903930664
"57",2,"UK",1972,4149,7.08791208267212,43.5590438842773,NA,NA,NA,NA,42.5600814819336
"58",2,"UK",1973,4683,9.20985126495361,49.803581237793,NA,NA,NA,NA,42.1353988647461
